HUC12,NumTEspp
031601060603,1
031601060606,1
031601060609,1
031601060705,1
031601060706,4
031601060707,4
031601070102,1
031601070106,1
031601070301,3
031601070302,6
031601070303,4
031601070305,6
031601070306,6
031601081102,1
031601090203,1
031601090303,1
031601090503,1
031601090601,1
031601100101,5
031601100102,4
031601100103,5
031601100105,1
031601100201,5
031601100202,5
031601100203,2
031601100304,1
031601100406,1
031601110107,1
031601110204,1
031601110207,1
031601110208,1
031601110301,2
031601110305,2
031601110306,3
031601110307,2
031601110308,2
031601110402,2
031601110404,4
031601110408,1
031601110410,1
031601120101,1
031601120102,1
031601120401,2
031601120403,3
031601120405,1
031601120408,1
031601120411,1
031601120505,1
031601130104,1
031601130201,1
031601130202,1
031601130204,1
031601130205,1
031601130602,1
031601130605,1
031601130803,1
031602010401,1
031602010406,1
031602010407,1
031602010408,1
031602010903,1
031602010909,1
031602020401,1
031602030302,2
031602030502,3
031602030901,1
031602030903,1
031602031101,1
031602031103,1
031602050101,1
031602050300,1
031700010703,1
031700020301,1
031700020302,1
031700020305,1
031700020306,1
031700020703,1
031700020705,1
031700020706,1
031700020707,1
031700030401,1
031700030402,1
031700030403,1
031700030404,1
031700040504,1
031700040704,1
031700040705,1
031700040707,1
031700040708,1
031700040802,1
031700040803,2
031700040903,1
031700040904,1
031700040905,1
031700050601,1
031700050602,1
031700050603,1
031700050604,1
031700050902,1
031700050903,1
031700050904,1
031700060102,1
031700060105,1
031700060108,1
031700060301,2
031700060302,1
031700060303,1
031700070503,1
031700070506,2
031700080702,1
031700080705,1
031700090303,1
031700090605,1
031800020604,1
031800020909,1
031800030307,1
031800030603,1
031800030701,1
031800030703,2
031800040101,1
031800040103,1
031800040203,1
031800040406,1
031800040701,1
031800040702,1
031800040704,1
031800041004,1
031800050301,1
050702020103,1
050702020104,1
050702020303,1
050702020304,1
050702020401,1
050702020402,1
050702020403,1
050702020404,1
050702020405,1
050702020406,1
050702020407,1
050702020408,1
050702020503,1
050702020504,1
050702020505,1
050702020506,1
050702020507,1
050702020703,1
051301010201,1
051301010502,1
051301010503,1
051301010601,1
051301010602,1
051301010605,1
051301010606,1
051301010701,2
051301010901,1
051301040101,1
051301040103,1
051301040201,1
051301040203,1
051301040204,1
051301040205,1
051301040304,2
051301040305,1
051301040308,1
051301040401,1
051301040402,1
051301040503,4
051301040504,6
051301040505,8
051301040507,1
051301050202,1
051301050403,1
051301050406,1
051301050504,3
051301060304,1
051301070103,1
051301070202,1
051301070203,1
051301070305,1
051301070306,3
051301070307,2
051301070403,1
051301080205,3
051301080305,1
051301080402,1
051301080403,1
051301080404,1
051301080405,2
051301080503,1
051301080804,1
051301080905,14
051301080908,2
051302010302,7
051302010304,8
051302010308,7
051302020101,1
051302020102,1
051302020305,3
051302020309,1
051302030104,1
051302030106,1
051302030107,1
051302060702,1
051302060705,1
060101010101,1
060101010103,4
060101010104,5
060101010105,3
060101010201,5
060101010203,3
060101010205,3
060101010301,2
060101010302,1
060101010303,2
060101010304,1
060101010305,1
060101010306,1
060101010307,10
060101010401,1
060101010402,11
060101010403,9
060101010404,12
060101020103,1
060101020203,1
060101020305,4
060101020306,5
060101020307,3
060101020405,1
060101020704,1
060101040101,1
060101040103,2
060101040104,1
060101040204,2
060101040206,2
060101040209,2
060101040301,4
060101040302,1
060101040303,1
060101040304,2
060101040305,2
060101040307,4
060101040308,3
060101050201,1
060101050204,1
060101050205,1
060101050206,1
060101050403,1
060101050604,1
060101050705,1
060101050901,1
060101060102,1
060101060103,1
060101060104,1
060101060105,1
060101070103,1
060101070207,1
060101070308,1
060101070403,9
060101070405,2
060101080106,1
060101080203,1
060101080204,1
060101080205,1
060101080209,1
060101080303,1
060101080304,1
060101080305,1
060101080306,1
060101080601,1
060101080603,1
060101080706,2
060101080707,5
060101080806,2
060101080901,2
060101080905,1
060101080906,4
060102010105,1
060102010106,3
060102010107,1
060102010108,1
060102010110,3
060102010204,3
060102010210,2
060102010302,3
060102010403,1
060102010501,1
060102010602,1
060102010603,1
060102020305,1
060102020401,2
060102020402,2
060102020403,3
060102020404,3
060102020405,3
060102020407,2
060102030107,1
060102030207,1
060102030302,1
060102030303,1
060102030304,1
060102030402,1
060102030405,1
060102040101,2
060102040106,1
060102040107,2
060102040202,4
060102040305,4
060102040307,2
060102040403,1
060102040404,4
060102040406,1
060102040502,1
060102040505,1
060102050102,8
060102050103,8
060102050104,8
060102050105,8
060102050202,1
060102050203,2
060102050204,6
060102050301,1
060102050302,10
060102050304,1
060102050401,14
060102050402,6
060102050403,8
060102050404,5
060102050405,9
060102050601,8
060102050602,15
060102050603,12
060102050604,7
060102050605,16
060102050606,22
060102050701,1
060102050702,3
060102050703,20
060102050802,2
060102050804,23
060102050808,19
060102050903,1
060102051003,15
060102051004,1
060102051101,2
060102060201,1
060102060202,1
060102060204,1
060102060301,14
060102060302,5
060102060303,8
060102060304,20
060102060305,5
060102060307,18
060102060402,9
060102060403,1
060102060404,11
060102070302,1
060102070303,1
060102070401,6
060102070403,8
060102070404,7
060102070405,4
060102080104,1
060102080205,1
060102080304,2
060102080305,3
060102080402,3
060102080404,1
060102080405,1
060102080406,1
060102080407,1
060102080408,4
060200010103,1
060200010301,1
060200010302,1
060200010601,4
060200010603,5
060200010606,1
060200010608,1
060200010609,1
060200010902,1
060200010905,1
060200011202,5
060200020401,1
060200020402,1
060200020403,1
060200020404,1
060200020702,1
060200020902,1
060200020903,1
060200020907,3
060200020908,1
060200020909,4
060200021403,2
060200030212,1
060200040101,1
060200040107,2
060200040204,3
060200040301,1
060200040303,1
060200040305,1
060200040306,3
060300010201,4
060300010205,1
060300010301,1
060300010302,1
060300010305,1
060300010406,1
060300010408,1
060300010601,1
060300010606,2
060300010705,3
060300010807,1
060300010901,2
060300010903,1
